cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
67,22,86,63,12,78,001902001
57,26,82,57,36,81,001902041
62,36,86,60,36,86,001902103
63,25,80,51,9,68,001903001
,,,,,,001903002
51,24,83,50,28,83,001903041
57,30,87,53,32,86,001903102
58,21,80,48,7,68,001904001
55,26,83,50,24,81,001904041
49,25,80,47,27,82,001904102
71,29,89,69,14,82,001906002
46,20,86,44,21,89,001906102
51,18,77,41,6,63,001907001
40,18,73,41,22,74,001907041
45,25,76,45,25,74,001907107
35,16,67,34,15,66,001907110
48,14,73,39,3,58,001908002
35,15,65,37,17,66,001908041
31,13,65,31,16,64,001908101
59,21,87,61,7,81,001909001
54,22,90,57,32,91,001909101
54,20,78,43,5,66,002901001
6,2,40,7,0,11,002901002
39,17,70,37,19,69,002901041
48,25,81,45,27,81,002901101
38,18,73,41,20,77,002901104
75,36,92,62,12,85,003801001
44,18,81,47,27,83,003801042
59,34,87,56,32,85,003801103
72,31,89,64,15,82,003902001
6,0,28,13,0,25,003902004
63,34,89,59,31,87,003902041
49,28,82,45,26,82,003902102
50,20,76,40,5,63,003903001
17,4,34,11,0,19,003903004
44,22,75,39,20,71,003903044
45,19,80,43,19,80,003903120
48,29,73,50,31,78,003903121
34,16,67,33,13,68,003903122
41,21,73,37,17,72,003903123
37,15,75,38,15,77,003903129
,,,,,,003903201
54,16,76,47,5,65,003904001
27,5,45,25,0,25,003904005
50,22,78,45,24,74,003904041
40,21,76,36,21,73,003904101
44,20,80,46,20,86,003904102
52,14,78,42,2,66,003905001
11,11,67,-1,-1,-1,003905004
45,18,79,36,14,72,003905041
38,18,73,42,19,77,003905103
37,12,73,34,10,66,003906001
,,,,,,003906004
40,22,75,41,21,79,003906101
53,17,79,43,4,65,003907001
-1,-1,-1,,,,003907004
53,26,81,52,29,78,003907041
43,17,74,48,24,79,003907102
59,22,81,45,5,67,004901001
38,18,69,35,16,66,004901041
37,19,69,38,20,71,004901101
64,31,89,67,30,84,005901001
64,37,90,61,39,88,005901101
76,31,93,74,25,90,005902001
67,34,89,67,38,90,005902041
48,24,79,50,25,83,005902101
64,19,85,59,3,81,005904001
61,35,89,51,27,84,005904041
70,44,95,61,39,96,005904101
55,24,86,53,19,80,006902001
56,32,83,56,32,88,006902101
53,13,79,50,3,70,007901001
33,12,74,38,13,72,007901041
35,13,68,30,16,67,007901101
57,25,76,47,9,68,007902001
,,,,,,007902005
48,21,79,46,24,80,007902041
37,17,76,36,16,79,007902101
33,7,67,28,3,57,007904001
29,10,64,32,14,67,007904041
31,14,64,30,12,66,007904101
51,17,74,41,6,60,007905001
0,0,55,-1,-1,-1,007905005
33,13,65,32,16,62,007905041
32,15,63,31,13,63,007905103
39,7,66,41,6,59,007906001
32,11,68,35,14,71,007906041
34,13,71,34,17,73,007906101
